epoch,learning_rate,training_total_loss,training_classification_loss,training_classifier_placeholder_loss,training_data_placeholder_loss,training_ordinary_accuracy,mean_mixup_coefficient,different_class_pair_rate,validation_loss,validation_accuracy
1,0.001,0.7229711349884217,0.07840256810463457,0.1863320645431734,4.5823649201880805,0.9991122159090909,0.5123894499212672,1.0,0.21070056322813033,0.9462
2,0.0009990133642141358,0.3526498455638913,0.11242927780205553,0.017686621635220945,2.22533940049735,0.9991220801391385,0.4872311577888798,1.0,0.20873393934890627,0.949
3,0.000996057350657239,0.32158522261306643,0.10554376026530835,0.011201772920850834,2.048396847803484,0.9990234375,0.5053996159483425,1.0,0.21281818529907615,0.9482
4,0.0009911436253643444,0.3125005585818805,0.10324953839352186,0.009731412465705282,1.995196045799689,0.9991122159090909,0.5120009576732462,1.0,0.21082258959785105,0.9508
5,0.0009842915805643156,0.3059871966781264,0.10421780232255431,0.009377723131117156,1.923916681246324,0.9992009943181818,0.49958269158907403,1.0,0.21130260453782976,0.9472
6,0.0009755282581475769,0.2938347053290768,0.10077616113068705,0.009441166743106971,1.8361737450415438,0.9989346590909091,0.5058668878389819,1.0,0.2132605699872598,0.9486
7,0.0009648882429441258,0.26544965024698863,0.09870229214853184,0.010489641810471023,1.5625771404328672,0.9990234375,0.5177435137421443,1.0,0.21328693245202304,0.9452
8,0.0009524135262330099,0.1659247891405936,0.07380407102490691,0.014532279842321506,0.7758843727325174,0.9984463778409091,0.5039852308373983,1.0,0.2539652981042862,0.9264
9,0.0009381533400219318,0.104049068658655,0.04451193076304414,0.014487357098418712,0.4504978045482527,0.9986683238636364,0.506118906595723,1.0,0.21709881541728973,0.9408
10,0.0009221639627510075,0.08883122322467071,0.03767866076139564,0.013197159659202125,0.37955402447418735,0.9986239346590909,0.49337963992994366,1.0,0.20925548620224,0.942
11,0.0009045084971874736,0.12157747770172798,0.04007330274378711,0.013282243172976781,0.6822193092243238,0.9980912642045454,0.5034937460546974,1.0,0.2727371325793676,0.9384
12,0.0008852566213878945,0.2798826531718739,0.09678947328674523,0.008158342927345075,1.749348334460096,0.9981800426136364,0.49728888395475224,1.0,0.25565151151046156,0.9384
13,0.0008644843137107056,0.11239109984175726,0.054980577689341524,0.013317737135697495,0.4409278387478976,0.9978249289772727,0.4767683702944355,1.0,0.24261729756593703,0.9344
14,0.0008422735529643443,0.08420172312550923,0.032177657090042805,0.012348067089491948,0.3967599884860895,0.9987571022727273,0.47611252016874706,1.0,0.23276066367626191,0.9388
15,0.0008187119948743448,0.06745253653604198,0.030027479129123756,0.011538983267118138,0.25886073805370624,0.9982244318181818,0.4923041631912135,1.0,0.29326680915355685,0.9294
16,0.0007938926261462366,0.15553008288473144,0.058513250641143794,0.011659397985733283,0.8535743355751038,0.9974254261363636,0.5133034339576791,1.0,0.2799604975792114,0.9412
17,0.0007679133974894982,0.1472282698377967,0.06142821212944744,0.009354393406697041,0.7644566260066561,0.9982244318181818,0.5140554601199586,1.0,0.21268618522882463,0.945
18,0.0007408768370508576,0.06539721212307499,0.02944222331809049,0.011119332582562824,0.24835655879525637,0.99853515625,0.5089545970443975,1.0,0.26467933298349383,0.9336
19,0.0007128896457825362,0.05638489802367985,0.0258378604776226,0.010799993501595136,0.19747043920109386,0.9984463778409091,0.5154210176975043,1.0,0.24909399065971374,0.9378
20,0.0006840622763423389,0.05399009986219674,0.021483519945335997,0.008952390899966385,0.23554188777184623,0.9992897727272727,0.5051034272394397,1.0,0.24105069235265256,0.9378
21,0.0006545084971874735,0.045756904993058095,0.019765475717246194,0.009091807407623326,0.16899621689332311,0.9990678267045454,0.4853880894264545,1.0,0.26169260241389275,0.9376
22,0.0006243449435824271,0.0305234421340918,0.015542569615222006,0.008375115205787799,0.06605757222066379,0.9992009943181818,0.49969395326281135,1.0,0.2383785080164671,0.9386
23,0.0005936906572928622,0.03731575505067171,0.015790311979468574,0.008123631747862832,0.1340181099420244,0.9989346590909091,0.5033271387642757,1.0,0.2291840098492801,0.9434
24,0.000562666616782152,0.04928193349571137,0.019067132115279408,0.007782664441037923,0.22432136844145134,0.9988458806818182,0.4899545710068196,1.0,0.2809956092953682,0.9334
25,0.0005313952597646566,0.03849285946026529,0.016132256952749394,0.00775570972870231,0.14604892595988614,0.9991122159090909,0.4812683625813489,1.0,0.26352620260715487,0.9368
26,0.0004999999999999998,0.039610143973153426,0.01609677090097896,0.007185616357177919,0.16327756218114783,0.9991566051136364,0.4895323893711479,1.0,0.3411500809907913,0.9262
27,0.00046860474023534314,0.029605707225114616,0.013344334245299582,0.006767054921841587,0.09494317751060324,0.9992897727272727,0.5112955599748106,1.0,0.3328856182813644,0.9296
28,0.00043733338321784774,0.030798446252116595,0.01370369502348529,0.0069724827348677946,0.10122268358562989,0.9996448863636364,0.50378839566838,1.0,0.29375600724220274,0.9346
29,0.00040630934270713756,0.027140843218975617,0.013075721222610975,0.007068944147745656,0.06996177847031504,0.999077690934593,0.5161525588270954,1.0,0.23131899144053458,0.9396
