candidate_id,pair_id,direction,content_index,style_index,content_label,style_label,content_class,style_class,style_strength,file_name
pair0_airplane_to_bird_00,0,airplane_to_bird,6986,261,0,1,airplane,bird,0.8,pair0_airplane_to_bird_00.png
pair0_airplane_to_bird_01,0,airplane_to_bird,2888,5123,0,1,airplane,bird,0.8,pair0_airplane_to_bird_01.png
pair0_airplane_to_bird_02,0,airplane_to_bird,3455,116,0,1,airplane,bird,0.8,pair0_airplane_to_bird_02.png
pair0_airplane_to_bird_03,0,airplane_to_bird,3,7029,0,1,airplane,bird,0.8,pair0_airplane_to_bird_03.png
pair0_airplane_to_bird_04,0,airplane_to_bird,3025,95,0,1,airplane,bird,0.8,pair0_airplane_to_bird_04.png
pair0_airplane_to_bird_05,0,airplane_to_bird,5117,6076,0,1,airplane,bird,0.8,pair0_airplane_to_bird_05.png
pair0_airplane_to_bird_06,0,airplane_to_bird,7262,6349,0,1,airplane,bird,0.8,pair0_airplane_to_bird_06.png
pair0_airplane_to_bird_07,0,airplane_to_bird,7009,4640,0,1,airplane,bird,0.8,pair0_airplane_to_bird_07.png
pair0_airplane_to_bird_08,0,airplane_to_bird,1596,3550,0,1,airplane,bird,0.8,pair0_airplane_to_bird_08.png
pair0_airplane_to_bird_09,0,airplane_to_bird,7150,2157,0,1,airplane,bird,0.8,pair0_airplane_to_bird_09.png
pair0_airplane_to_bird_10,0,airplane_to_bird,5918,5092,0,1,airplane,bird,0.8,pair0_airplane_to_bird_10.png
pair0_airplane_to_bird_11,0,airplane_to_bird,1648,7033,0,1,airplane,bird,0.8,pair0_airplane_to_bird_11.png
pair0_airplane_to_bird_12,0,airplane_to_bird,7309,1109,0,1,airplane,bird,0.8,pair0_airplane_to_bird_12.png
pair0_airplane_to_bird_13,0,airplane_to_bird,7634,3413,0,1,airplane,bird,0.8,pair0_airplane_to_bird_13.png
pair0_airplane_to_bird_14,0,airplane_to_bird,7373,1871,0,1,airplane,bird,0.8,pair0_airplane_to_bird_14.png
pair0_airplane_to_bird_15,0,airplane_to_bird,4539,2687,0,1,airplane,bird,0.8,pair0_airplane_to_bird_15.png
pair0_airplane_to_bird_16,0,airplane_to_bird,4785,7202,0,1,airplane,bird,0.8,pair0_airplane_to_bird_16.png
pair0_airplane_to_bird_17,0,airplane_to_bird,81,1993,0,1,airplane,bird,0.8,pair0_airplane_to_bird_17.png
pair0_airplane_to_bird_18,0,airplane_to_bird,2024,6169,0,1,airplane,bird,0.8,pair0_airplane_to_bird_18.png
pair0_airplane_to_bird_19,0,airplane_to_bird,7372,1230,0,1,airplane,bird,0.8,pair0_airplane_to_bird_19.png
pair0_airplane_to_bird_20,0,airplane_to_bird,2750,3491,0,1,airplane,bird,0.8,pair0_airplane_to_bird_20.png
pair0_airplane_to_bird_21,0,airplane_to_bird,3083,1986,0,1,airplane,bird,0.8,pair0_airplane_to_bird_21.png
pair0_airplane_to_bird_22,0,airplane_to_bird,5999,5488,0,1,airplane,bird,0.8,pair0_airplane_to_bird_22.png
pair0_airplane_to_bird_23,0,airplane_to_bird,2242,2690,0,1,airplane,bird,0.8,pair0_airplane_to_bird_23.png
pair0_airplane_to_bird_24,0,airplane_to_bird,1175,6733,0,1,airplane,bird,0.8,pair0_airplane_to_bird_24.png
pair0_airplane_to_bird_25,0,airplane_to_bird,1389,1090,0,1,airplane,bird,0.8,pair0_airplane_to_bird_25.png
pair0_airplane_to_bird_26,0,airplane_to_bird,4675,3937,0,1,airplane,bird,0.8,pair0_airplane_to_bird_26.png
pair0_airplane_to_bird_27,0,airplane_to_bird,3876,6938,0,1,airplane,bird,0.8,pair0_airplane_to_bird_27.png
pair0_airplane_to_bird_28,0,airplane_to_bird,6437,6594,0,1,airplane,bird,0.8,pair0_airplane_to_bird_28.png
pair0_airplane_to_bird_29,0,airplane_to_bird,3965,825,0,1,airplane,bird,0.8,pair0_airplane_to_bird_29.png
pair0_bird_to_airplane_00,0,bird_to_airplane,6836,4130,1,0,bird,airplane,0.8,pair0_bird_to_airplane_00.png
pair0_bird_to_airplane_01,0,bird_to_airplane,3491,7320,1,0,bird,airplane,0.8,pair0_bird_to_airplane_01.png
pair0_bird_to_airplane_02,0,bird_to_airplane,2687,7150,1,0,bird,airplane,0.8,pair0_bird_to_airplane_02.png
pair0_bird_to_airplane_03,0,bird_to_airplane,116,484,1,0,bird,airplane,0.8,pair0_bird_to_airplane_03.png
pair0_bird_to_airplane_04,0,bird_to_airplane,6805,3083,1,0,bird,airplane,0.8,pair0_bird_to_airplane_04.png
pair0_bird_to_airplane_05,0,bird_to_airplane,1986,6986,1,0,bird,airplane,0.8,pair0_bird_to_airplane_05.png
pair0_bird_to_airplane_06,0,bird_to_airplane,5220,7372,1,0,bird,airplane,0.8,pair0_bird_to_airplane_06.png
pair0_bird_to_airplane_07,0,bird_to_airplane,3079,3876,1,0,bird,airplane,0.8,pair0_bird_to_airplane_07.png
pair0_bird_to_airplane_08,0,bird_to_airplane,6954,1977,1,0,bird,airplane,0.8,pair0_bird_to_airplane_08.png
pair0_bird_to_airplane_09,0,bird_to_airplane,1852,2750,1,0,bird,airplane,0.8,pair0_bird_to_airplane_09.png
pair0_bird_to_airplane_10,0,bird_to_airplane,6594,4675,1,0,bird,airplane,0.8,pair0_bird_to_airplane_10.png
pair0_bird_to_airplane_11,0,bird_to_airplane,7029,7009,1,0,bird,airplane,0.8,pair0_bird_to_airplane_11.png
pair0_bird_to_airplane_12,0,bird_to_airplane,5256,4819,1,0,bird,airplane,0.8,pair0_bird_to_airplane_12.png
pair0_bird_to_airplane_13,0,bird_to_airplane,6169,42,1,0,bird,airplane,0.8,pair0_bird_to_airplane_13.png
pair0_bird_to_airplane_14,0,bird_to_airplane,6733,2888,1,0,bird,airplane,0.8,pair0_bird_to_airplane_14.png
